"","Player","Tm","season21_22"
"235","Jarred Vanderbilt","MIN",4259259
"236","Kevin Huerter","ATL",4253357
"237","Devin Vassell","SAS",4235160
"238","P.J. Washington","CHO",4215120
"239","Willie Cauley-Stein","DAL",4200000
"240","James Bouknight","CHO",4154400
"241","Josh Okogie","MIN",4087904
"242","Grayson Allen","MIL",4054695
"243","Tyrese Haliburton","SAC",4023600
"244","Chandler Hutchison","SAS",NA
"245","Tyler Herro","MIA",4004280
"246","Terence Davis","SAC",4e+06
"247","George Hill","MIL",4e+06
"248","Dorian Finney-Smith","DAL",4e+06
"249","Gorgui Dieng","ATL",4e+06
"250","Aaron Holiday","WAS",3980551
"251","Joshua Primo","SAS",3946800
"252","Jake Layman","MIN",3940184
"253","Anfernee Simons","POR",3938818
"254","Justise Winslow","LAC",3902439
"255","Danuel House","HOU",3894000
"256","Jevon Carter","BRK",3833333
"257","Kira Lewis Jr.","NOP",3822240
"258","Romeo Langford","BOS",3804360
"259","Facundo Campazzo","DEN",3804150
"260","Landry Shamet","PHO",3768342
"261","Chris Duarte","IND",3749520
"262","Alex Len","SAC",3731707
"263","Gabriel Deck","OKC",3670000
"264","Robert Williams","BOS",3661976
"265","Aaron Nesmith","BOS",3631200
"266","Moses Moody","GSW",3562080
"267","Boban Marjanovic","DAL",3500000
"268","Mike Muscala","OKC",3500000
"269","Cole Anthony","ORL",3449400
"270","Corey Kispert","WAS",3383640
"271","Trey Burke","DAL",3333333
"272","Georges Niang","PHI",3300000
"273","Chuma Okeke","ORL",3277080
"274","Isaiah Stewart","DET",3277080
"275","Nickeil Alexander-Walker","NOP",3261480
"276","Alperen Sengün","HOU",3214680
"277","Nicolas Batum","LAC",12213507
"278","Jon Leuer","MIL",3169347
"279","Aleksej Pokusevski","OKC",3113160
"280","Goga Bitadze","IND",3098400
"281","Trey Murphy III","NOP",3053760
"282","Sterling Brown","DAL",3e+06
"283","Michael Carter-Williams","ORL",3e+06
"284","Frank Jackson","DET",3e+06
"285","Luka Šamanic","SAS",NA
"286","Josh Green","DAL",2957520
"287","Tre Mann","OKC",2901240
"288","Dewayne Dedmon","DET",5256308
"289","Andrew Nicholson","POR",2844429
"290","Matisse Thybulle","PHI",2840160
"291","Saddiq Bey","DET",2824320
"292","Kai Jones","CHO",2770560
"293","Brandon Clarke","MEM",2726880
"294","Precious Achiuwa","TOR",2711280
"295","Jalen Johnson","ATL",2659560
"296","E'Twaun Moore","ORL",2641691
"297","Udonis Haslem","MIA",2641691
"298","Markieff Morris","MIA",2641691
"299","DeAndre Jordan","LAL",10517224
"300","Rajon Rondo","LAL",2641691
"301","Dwight Howard","LAL",2641691
"302","Wayne Ellington","LAL",2641691
"303","Trevor Ariza","LAL",2641691
"304","Carmelo Anthony","LAL",2641691
"305","Andre Iguodala","GSW",2641691
"306","Paul Millsap","BRK",2641691
"307","LaMarcus Aldridge","BRK",2641691
"308","Blake Griffin","BRK",32405817
"309","James Johnson","BRK",2641691
"310","Enes Kanter","BOS",2641691
"311","Avery Bradley","LAL",2641691
"312","Ed Davis","CLE",2641691
"313","Grant Williams","BOS",2617800
"314","Tyrese Maxey","PHI",2602920
"315","Keon Johnson","LAC",2553120
"316","Darius Bazley","OKC",2513040
"317","Trey Lyles","DET",2500000
"318","Zeke Nnaji","DEN",2498760
"319","Isaiah Jackson","IND",2451120
"320","Ty Jerome","OKC",2412840
"321","Hassan Whiteside","UTA",2401537
"322","Andre Drummond","PHI",2401537
"323","Kent Bazemore","LAL",2401537
"324","Austin Rivers","DEN",2401537
"325","Cory Joseph","DET",7310000
"326","Tony Snell","POR",2389641
"327","Cody Zeller","POR",2389641
"328","Ben McLemore","POR",2389641
"329","Victor Oladipo","MIA",2389641
"330","Dewayne Dedmon","MIA",5256308
"331","Otto Porter","GSW",2389641
"332","Solomon Hill","ATL",2389641
"333","Leandro Bolmaro","MIN",2353320
"334","Usman Garuba","HOU",2353320
"335","Willy Hernangómez","NOP",2327220
"336","Nassir Little","POR",2316240
"337","R.J. Hampton","ORL",2303040
"338","Josh Christopher","HOU",2259240
"339","Monta Ellis","IND",2245400
"340","Elfrid Payton","PHO",2239544
"341","Rodney Hood","MIL",2239544
"342","Jabari Parker","BOS",2239544
"343","Dylan Windler","CLE",2239200
"344","Immanuel Quickley","NYK",2210640
"345","John Konchar","MEM",2197674
"346","Quentin Grimes","NYK",2168760
"347","Jordan Poole","GSW",2161440
"348","Bol Bol","DEN",2161152
"349","Keldon Johnson","SAS",2145720
"350","Payton Pritchard","BOS",2137440
"351","Kevin Porter Jr.","HOU",2130240
"352","Gary Clark","DEN",2100000
"353","Bones Hyland","DEN",2096880
